cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins,wfh_flg
07/01/17,1729.64,170701,102012,1413,0,0,0,0,1
07/02/17,2226.9,170702,414532,6051,6,42,0,48,1
07/03/17,2332.02,170703,681831,9318,68,38,0,106,0
07/04/17,2161.57,170704,669337,9417,28,32,0,60,1
07/05/17,2162.59,170705,418991,6116,16,16,0,32,0
07/06/17,2197.31,170706,695464,9958,32,20,0,52,0
07/07/17,1988.99,170707,316016,4547,0,0,0,0,0
07/08/17,1932.65,170708,287668,4199,0,0,0,0,1
07/09/17,1973.49,170709,285402,4166,2,18,0,20,1
07/10/17,2208.5,170710,580805,8402,0,0,0,0,0
07/11/17,2154.04,170711,448787,6551,0,0,0,0,1
07/12/17,2004.02,170712,396395,5569,0,0,0,0,0
07/13/17,2177.74,170713,489754,7149,16,8,0,24,0
07/14/17,1904.04,170714,249976,3583,0,0,0,0,0
07/15/17,1974.17,170715,425302,6208,0,0,0,0,1
07/16/17,2344.81,170716,478981,6786,18,28,0,46,1
07/17/17,2273.84,170717,747324,10909,60,6,0,66,0
07/18/17,2143.36,170718,409324,5975,8,14,0,22,1
07/19/17,2453.84,170719,825117,11201,52,42,0,94,0
07/20/17,2350.74,170720,903499,12978,120,24,0,144,0
07/21/17,2041.21,170721,443296,6471,0,0,0,0,0
07/22/17,2311.78,170722,649918,9487,42,16,0,58,1
07/23/17,2081.39,170723,467977,6763,2,54,0,56,1
07/24/17,2203.6,170724,347470,5072,22,20,0,42,0
07/25/17,2210.48,170725,813293,11872,58,6,0,64,1
07/26/17,2412.46,170726,553176,8075,38,6,360,404,0
07/27/17,2459.72,170727,943949,13098,70,18,428,516,0
07/28/17,1918.6,170728,464832,6785,0,0,244,244,0
07/29/17,1672.83,170729,42617,622,0,0,66,66,1
07/30/17,2224.61,170730,542224,7915,0,0,422,422,1
07/31/17,2693.49,170731,978054,14277,60,172,450,682,0
08/01/17,1958.62,170801,429608,6271,0,0,258,258,1
08/02/17,2214.43,170802,550437,8035,22,64,300,386,0
08/03/17,2053.8,170803,406994,5941,28,14,274,316,0
08/04/17,2236.57,170804,458445,6692,8,20,412,440,0
08/05/17,1892.78,170805,258280,3770,0,0,262,262,1
08/06/17,2875.58,170806,1128206,14655,156,64,332,552,1
08/07/17,1665.98,170807,419378,5413,0,0,76,76,0
08/08/17,1926.61,170808,238200,3477,6,12,210,228,1
08/09/17,2198.83,170809,396718,5668,40,12,318,370,0
08/10/17,2172.16,170810,567016,7890,0,0,376,376,0
08/11/17,2358.14,170811,561513,7813,16,18,398,432,0
08/12/17,2660.18,170812,599933,8293,106,20,348,474,1
08/13/17,2312.89,170813,1473490,17943,22,58,350,430,1
08/14/17,2521.79,170814,975918,14246,110,12,374,496,0
08/15/17,2173.72,170815,611360,8866,10,8,370,388,1
08/16/17,2039.03,170816,290609,4242,10,42,248,300,0
08/17/17,2288.36,170817,629700,9192,26,6,332,364,0
08/18/17,2344.71,170818,861564,12056,68,6,314,388,0
08/19/17,1915.31,170819,307226,4417,22,16,178,216,1
08/20/17,2340.61,170820,424123,6191,8,22,522,552,1
08/21/17,2507.76,170821,930722,13586,74,18,384,476,0
08/22/17,2175.75,170822,676268,9743,24,14,362,400,1
08/23/17,2104.5,170823,356987,5211,0,0,322,322,0
08/24/17,2430.62,170824,887649,12756,88,16,360,464,0
08/25/17,2133.41,170825,394395,5635,12,12,344,368,0
08/26/17,2161.58,170826,476062,6818,0,0,396,396,1
08/27/17,2611.14,170827,582709,8506,46,76,480,602,1
08/28/17,2438.98,170828,1191992,16965,82,26,322,430,0
08/29/17,1764.91,170829,448677,6271,0,0,116,116,1
08/30/17,2251.49,170830,433016,6321,66,2,280,348,0
08/31/17,2501.8,170831,882764,12690,80,26,360,466,0
09/01/17,2692.69,170901,1143423,14904,90,36,440,566,0
09/02/17,2471.9,170902,662412,9669,2,14,670,686,1
09/03/17,2375.88,170903,487798,7055,72,66,314,452,1
09/04/17,2358.14,170904,839873,11912,74,46,324,444,0
09/05/17,2142.28,170905,847826,12240,30,30,268,328,1
09/06/17,2233.95,170906,544338,7946,48,48,236,332,0
09/07/17,2414.69,170907,733857,10556,68,8,392,468,0
09/08/17,2431.88,170908,603698,8747,54,64,374,492,0
09/09/17,1971.22,170909,558342,8086,0,0,282,282,1
09/10/17,1863.69,170910,248600,3562,0,0,210,210,1
09/11/17,2047.89,170911,387562,5592,0,0,304,304,0
09/12/17,2484.55,170912,925430,13135,94,38,308,440,1
09/13/17,2289.17,170913,685396,9920,72,6,286,364,0
09/14/17,2326.11,170914,735991,10588,84,24,296,404,0
09/15/17,2160.38,170915,508912,7362,22,34,318,374,0
09/16/17,1897.1,170916,212172,3097,0,0,220,220,1
09/17/17,2431.98,170917,560066,8111,6,22,532,560,1
09/18/17,2338.77,170918,675170,9580,70,12,296,378,0
09/19/17,2292.81,170919,865737,12160,42,36,306,384,1
09/20/17,2217.84,170920,579890,8465,0,2,368,370,0
09/21/17,2564.1,170921,871184,12519,110,14,348,472,0
09/22/17,2499.57,170922,1084045,15494,100,14,326,440,0
09/23/17,2278.6,170923,439943,6349,30,4,386,420,1
09/24/17,2016.93,170924,575332,7819,4,16,280,300,1
09/25/17,2319.86,170925,672311,9814,66,6,302,374,0
09/26/17,1964.46,170926,352183,4991,0,0,240,240,1
09/27/17,2015.38,170927,436702,6010,0,0,308,308,0
09/28/17,2269.78,170928,463339,6570,0,0,446,446,0
09/29/17,2460.85,170929,842606,12088,58,34,392,484,0
09/30/17,1982.97,170930,424801,6201,4,10,254,268,1
10/01/17,2186.73,171001,497643,7264,0,10,460,470,1
10/02/17,2192.54,171002,633266,9244,70,2,244,316,0
10/03/17,2071.58,171003,478441,6984,18,6,246,270,1
10/04/17,2271.33,171004,648552,9061,36,2,336,374,0
10/05/17,2447.69,171005,746997,10830,18,20,490,528,0
10/06/17,2345.65,171006,744068,10728,18,56,402,476,0
10/07/17,2263.5,171007,489218,7141,10,52,400,462,1
10/08/17,1960.16,171008,382541,5443,0,0,274,274,1
10/09/17,2180.85,171009,393165,5739,22,48,310,380,0
10/10/17,2108.57,171010,653604,9338,16,4,288,308,1
10/11/17,2386.41,171011,830537,12061,74,28,296,398,0
10/12/17,2537.99,171012,591569,8570,40,34,432,506,0
10/13/17,1997.54,171013,714077,9747,0,0,270,270,0
10/14/17,2049.47,171014,288154,4206,16,8,310,334,1
10/15/17,2078.65,171015,344657,5031,0,18,336,354,1
10/16/17,2444.69,171016,883150,12824,68,4,400,472,0
10/17/17,2430.59,171017,949666,13641,80,6,352,438,1
10/18/17,2243.83,171018,581209,7910,0,0,406,406,0
10/19/17,2385.23,171019,732458,10211,44,34,362,440,0
10/20/17,3568.1,171020,1872869,24834,280,140,432,852,0
10/21/17,2460.61,171021,1065547,14634,44,62,428,534,1
10/22/17,1948.68,171022,484941,7004,0,6,252,258,1
10/23/17,2325.44,171023,654273,8949,34,18,388,440,0
10/24/17,2174.94,171024,625556,8258,28,6,286,320,1
